Date,Close,Open,High,Low,Volume
2019-05-06,878.8,893.83,893.83,875.71,41220.0
2019-05-07,877.02,880.06,885.23,876.18,36430.0
2019-05-08,872.78,872.22,874.89,867.18,38550.0
2019-05-09,871.5,872.71,875.89,868.73,39320.0
2019-05-10,876.45,871.28,877.59,871.28,34860.0
2019-05-13,879.64,876.16,879.64,874.68,37920.0
2019-05-14,882.67,879.14,882.67,871.96,39070.0
2019-05-15,893.22,882.99,893.68,882.99,46180.0
2019-05-16,891.93,893.7,896.34,891.93,39250.0
2019-05-17,890.53,892.93,893.44,888.56,40030.0
2019-05-20,901.06,890.16,901.06,888.12,42540.0
2019-05-21,901.36,901.79,907.64,900.97,43010.0
2019-05-22,897.66,901.49,906.99,897.27,43390.0
2019-05-23,895.07,897.66,899.02,892.08,30510.0
2019-05-24,884.48,894.22,898.24,884.48,44870.0
2019-05-27,889.2,884.29,889.45,883.95,29660.0
2019-05-28,885.27,888.8,891.61,883.53,30930.0
2019-05-29,883.52,886.12,886.98,882.0,33830.0
2019-05-30,883.37,883.51,888.68,879.58,29870.0
2019-05-31,876.29,883.39,884.75,875.77,34300.0
2019-06-03,864.08,875.64,875.64,858.64,51470.0
2019-06-04,864.35,864.27,868.67,857.94,32530.0
2019-06-05,863.69,866.79,871.91,863.69,27110.0
2019-06-06,861.31,863.81,865.16,851.47,38240.0
2019-06-07,869.56,860.64,869.56,860.64,33450.0
2019-06-10,872.49,869.68,877.45,866.79,44470.0
2019-06-11,870.91,872.49,874.32,870.0,29460.0
2019-06-12,865.42,870.48,871.64,865.42,32450.000000000004
2019-06-13,859.68,865.29,865.29,857.72,32320.0
2019-06-14,861.65,859.53,864.29,859.08,34400.0
2019-06-17,852.99,861.37,862.36,851.14,40070.0
2019-06-18,848.17,852.62,853.95,845.4,43000.0
2019-06-19,854.34,850.34,854.81,850.34,39850.0
2019-06-20,864.59,854.9,867.91,853.96,53360.0
2019-06-21,866.53,864.59,870.35,864.44,72300.0
2019-06-24,868.94,866.63,873.33,866.63,40700.0
2019-06-25,868.5,867.73,870.37,866.25,38480.0
2019-06-26,866.81,868.16,870.52,865.67,41570.0
2019-06-27,854.41,866.84,867.08,854.41,44970.0
2019-06-28,864.24,854.49,864.24,847.77,43760.0
2019-07-01,876.26,864.24,876.39,864.24,49230.0
2019-07-02,872.92,876.27,877.08,870.71,38740.0
2019-07-03,869.58,872.92,872.92,865.59,42590.0
2019-07-04,879.72,869.58,879.72,869.58,49310.0
2019-07-05,880.23,879.49,882.19,876.28,41270.0
2019-07-08,870.92,878.96,878.96,867.35,44400.0
2019-07-09,872.21,871.19,872.52,866.32,41060.0
2019-07-10,876.12,872.21,878.32,872.2,41860.0
2019-07-11,879.1,876.12,880.88,876.12,39210.0
2019-07-12,874.99,880.06,883.15,874.56,46830.0
2019-07-15,873.71,875.28,876.82,870.84,42050.0
2019-07-16,880.91,873.74,880.91,873.74,48670.0
2019-07-17,879.75,880.69,882.85,877.59,59850.0
2019-07-18,870.81,879.66,879.66,870.81,44970.0
2019-07-19,880.79,870.97,881.16,870.97,63930.0
2019-07-22,879.62,880.49,885.42,878.39,48840.0
2019-07-23,888.26,879.42,889.04,878.22,48220.0
2019-07-24,887.39,888.63,892.81,885.66,46410.0
2019-07-25,890.41,887.43,892.31,885.19,54560.0
2019-07-26,887.84,890.44,891.9,886.09,45310.0
2019-07-29,888.54,887.96,889.97,880.92,44920.0
2019-07-30,877.92,888.7,892.38,877.92,44930.0
2019-07-31,883.19,877.8,885.86,874.39,43400.0
2019-08-01,887.39,884.29,887.39,881.52,41760.0
2019-08-02,885.29,887.06,887.06,877.76,54740.0
2019-08-05,872.39,883.34,884.09,872.39,53470.0
2019-08-06,866.13,870.82,870.82,858.02,52910.0
2019-08-07,868.27,866.13,872.05,863.57,40020.0
2019-08-08,875.81,868.2,877.32,866.69,58880.0
2019-08-09,878.62,875.81,880.29,874.51,46670.0
2019-08-12,882.23,878.56,883.41,877.33,44750.0
2019-08-13,877.97,882.23,882.23,875.32,59070.0
2019-08-14,880.51,880.04,886.8,880.04,44300.0
2019-08-15,890.78,874.42,890.78,867.95,50400.0
2019-08-16,892.44,890.39,900.31,886.87,70250.0
2019-08-19,891.78,892.32,897.03,889.34,39310.0
2019-08-20,894.45,891.73,894.86,890.96,41240.0
2019-08-21,900.54,894.45,901.25,892.05,56160.0
2019-08-22,901.29,901.28,904.41,899.58,46930.0
2019-08-23,900.53,901.53,902.5,896.87,49590.0
2019-08-26,892.48,899.1,899.1,887.05,65310.0
2019-08-27,886.91,892.48,899.29,886.91,59290.0
2019-08-28,886.08,886.82,890.58,885.23,41620.0
2019-08-29,889.13,886.04,889.13,882.14,42610.0
2019-08-30,892.51,888.94,893.57,888.83,40840.0
2019-09-03,888.97,892.83,894.11,886.02,45770.0
2019-09-04,887.12,888.95,890.31,883.91,41240.0
2019-09-05,886.1,887.21,891.43,886.1,42080.0
2019-09-06,885.95,885.93,889.49,884.9,40540.0
2019-09-09,885.61,885.95,887.01,883.43,37160.0
2019-09-10,883.04,885.84,888.57,881.04,46270.0
2019-09-11,885.52,882.9,886.12,881.34,34850.0
2019-09-12,894.32,886.12,894.32,886.12,48190.0
2019-09-13,905.05,894.21,905.31,893.8,67620.0
2019-09-16,908.6,905.0,909.7,902.82,52500.0
2019-09-17,912.38,908.6,912.89,904.36,49770.0
2019-09-18,913.48,912.42,915.09,911.08,64920.0
2019-09-19,918.88,913.4,918.88,909.88,57540.0
2019-09-20,915.16,918.88,920.77,914.55,72090.0
2019-09-23,909.98,914.73,918.42,909.98,63690.0
2019-09-24,910.76,909.98,914.02,908.03,50420.0
2019-09-25,912.42,910.57,913.33,906.6,51190.0
2019-09-26,918.1,912.91,918.1,911.57,61820.0
2019-09-27,924.83,918.1,925.58,917.72,64120.00000000001
2019-09-30,922.89,924.83,930.88,922.62,63290.0
2019-10-01,926.31,922.87,926.31,921.69,59810.0
2019-10-02,919.73,926.44,927.43,917.68,69140.0
2019-10-03,921.7,919.63,921.7,911.6,63660.0
2019-10-04,915.16,921.7,924.36,915.16,62010.0
2019-10-07,907.5,915.62,917.36,907.5,60840.0
2019-10-08,915.27,907.06,915.34,906.88,65239.99999999999
2019-10-09,914.54,915.38,917.9,912.48,62570.0
2019-10-10,913.05,914.59,917.08,912.2,54840.0
2019-10-11,916.68,913.05,917.14,912.94,61850.0
2019-10-14,921.91,916.81,924.69,916.81,81660.0
2019-10-15,923.27,921.95,924.79,920.63,55000.0
2019-10-16,924.64,923.26,927.91,923.26,55090.0
2019-10-17,919.1,924.53,924.79,919.1,65010.00000000001
2019-10-18,919.13,919.92,922.62,916.87,57610.0
2019-10-21,914.0,918.02,918.81,913.94,63510.0
2019-10-22,916.81,914.04,917.61,912.7,59080.0
2019-10-23,919.61,916.81,919.61,915.87,55200.0
2019-10-24,925.25,919.54,925.25,919.17,59250.0
