Date; close 
18/06/2018;970
19/06/2018;945
20/06/2018;967
21/06/2018;956
22/06/2018;973
25/06/2018;982
26/06/2018;974
27/06/2018;961
28/06/2018;947
29/06/2018;948
02/07/2018;930
03/07/2018;892
04/07/2018;901
05/07/2018;884
06/07/2018;906
09/07/2018;899
10/07/2018;898
11/07/2018;881
12/07/2018;884
13/07/2018;899
16/07/2018;904
17/07/2018;916
18/07/2018;935
19/07/2018;941
20/07/2018;927
23/07/2018;931
24/07/2018;924
25/07/2018;916
26/07/2018;921
27/07/2018;927
30/07/2018;940
31/07/2018;944
01/08/2018;939
02/08/2018;938
03/08/2018;941
06/08/2018;940
07/08/2018;937
08/08/2018;946
09/08/2018;944
10/08/2018;948
13/08/2018;960
14/08/2018;966
15/08/2018;948
16/08/2018;950
17/08/2018;949
20/08/2018;946
21/08/2018;955
22/08/2018;960
23/08/2018;961
24/08/2018;960
27/08/2018;967
28/08/2018;971
29/08/2018;965
30/08/2018;975
31/08/2018;969
04/09/2018;951
05/09/2018;941
06/09/2018;932
07/09/2018;946
10/09/2018;943
11/09/2018;959
12/09/2018;959
13/09/2018;957
14/09/2018;960
17/09/2018;954
18/09/2018;960
19/09/2018;963
20/09/2018;971
21/09/2018;974
24/09/2018;986
25/09/2018;985
26/09/2018;984
27/09/2018;989
28/09/2018;995
01/10/2018;990
02/10/2018;988
03/10/2018;991
04/10/2018;994
05/10/2018;981
08/10/2018;970
09/10/2018;967
10/10/2018;966
11/10/2018;920
12/10/2018;943
15/10/2018;929
16/10/2018;939
17/10/2018;946
18/10/2018;938
19/10/2018;932
22/10/2018;923
23/10/2018;908
24/10/2018;897
25/10/2018;889
26/10/2018;881
29/10/2018;874
30/10/2018;874
31/10/2018;902
01/11/2018;888
02/11/2018;903
05/11/2018;905
06/11/2018;900
07/11/2018;899
08/11/2018;900
09/11/2018;886
12/11/2018;888
13/11/2018;874
14/11/2018;872
15/11/2018;865
16/11/2018;869
19/11/2018;889
20/11/2018;893
21/11/2018;897
22/11/2018;899
23/11/2018;891
26/11/2018;895
27/11/2018;895
28/11/2018;901
29/11/2018;898
30/11/2018;895
03/12/2018;922
04/12/2018;927
05/12/2018;926
06/12/2018;923
07/12/2018;930
10/12/2018;923
11/12/2018;922
12/12/2018;928
13/12/2018;929
14/12/2018;919
17/12/2018;901
18/12/2018;891
19/12/2018;883
20/12/2018;877
21/12/2018;873
24/12/2018;874
25/12/2018;866
26/12/2018;861
27/12/2018;865
28/12/2018;855
02/01/2019;856
03/01/2019;839
04/01/2019;840
07/01/2019;851
08/01/2019;845
09/01/2019;856
10/01/2019;858
11/01/2019;860
14/01/2019;859
15/01/2019;865
16/01/2019;864
17/01/2019;853
18/01/2019;855
21/01/2019;864
22/01/2019;859
23/01/2019;862
24/01/2019;866
25/01/2019;868
28/01/2019;869
29/01/2019;872
30/01/2019;869
31/01/2019;866
01/02/2019;860
11/02/2019;879
12/02/2019;888
13/02/2019;897
14/02/2019;900
15/02/2019;898
18/02/2019;905
19/02/2019;908
20/02/2019;912
21/02/2019;926
22/02/2019;930
25/02/2019;939
26/02/2019;930
27/02/2019;931
28/02/2019;905
01/03/2019;915
04/03/2019;928
05/03/2019;924
06/03/2019;924
07/03/2019;922
08/03/2019;915
11/03/2019;916
12/03/2019;930
13/03/2019;935
14/03/2019;934
15/03/2019;927
18/03/2019;933
19/03/2019;928
20/03/2019;924
21/03/2019;908
22/03/2019;912
25/03/2019;893
26/03/2019;895
27/03/2019;902
28/03/2019;902
29/03/2019;900
01/04/2019;906
02/04/2019;904
03/04/2019;902
04/04/2019;904
05/04/2019;905
08/04/2019;907
09/04/2019;900
10/04/2019;893
11/04/2019;896
12/04/2019;893
16/04/2019;888
17/04/2019;886
18/04/2019;877
19/04/2019;881
22/04/2019;878
23/04/2019;878
24/04/2019;889
25/04/2019;886
26/04/2019;891
02/05/2019;894
03/05/2019;895
06/05/2019;879
07/05/2019;877
08/05/2019;873
09/05/2019;872
10/05/2019;876
13/05/2019;880
14/05/2019;883
15/05/2019;893
16/05/2019;892
17/05/2019;891
20/05/2019;901
21/05/2019;901
22/05/2019;898
23/05/2019;895
24/05/2019;884
27/05/2019;889
28/05/2019;885
29/05/2019;884
30/05/2019;883
31/05/2019;876
03/06/2019;864
04/06/2019;864
05/06/2019;864
06/06/2019;861
07/06/2019;870
10/06/2019;872
11/06/2019;871
12/06/2019;865
13/06/2019;860
14/06/2019;862
17/06/2019;853
18/06/2019;848
19/06/2019;854
20/06/2019;865
21/06/2019;867
24/06/2019;869
25/06/2019;869
26/06/2019;867
