Date,Close,Open,High,Low,Volume,sma_10,sma_20,ema_10,ema_20,rsi_7,rsi_9,rsi_14
2020-02-06,862.86,845.38,862.86,842.68,97620.0,872.87,876.67,865.16,872.2,25.64,34.21,40.4
2020-02-07,863.49,862.71,865.91,858.02,72830.0,869.73,875.68,864.86,871.37,23.99,32.93,42.04
2020-02-10,852.87,863.28,863.28,848.21,46860.0,865.28,874.7,862.68,869.61,32.35,23.4,36.99
2020-02-11,856.39,853.09,859.38,853.09,70070.0,860.26,873.69,861.53,868.35,59.39,24.12,38.46
2020-02-12,863.23,856.64,870.1,856.64,80780.0,855.68,873.59,861.84,867.86,74.35,41.65,38.58
2020-02-13,864.16,862.72,864.79,858.46,58430.0,854.51,872.91,862.26,867.51,73.13,65.81,37.61
2020-02-14,865.86,865.03,868.84,863.14,74650.0,856.24,871.93,862.92,867.35,74.59,75.85,37.17
2020-02-17,866.27,865.83,867.45,862.75,58440.0,858.6,871.15,863.53,867.25,56.92,74.46,32.39
2020-02-18,861.71,866.06,866.61,858.61,60230.0,860.21,870.0,863.2,866.72,46.89,67.54,29.62
2020-02-19,863.84,860.23,865.4,859.65,52570.0,862.07,868.92,863.31,866.45,77.3,51.56,42.96
2020-02-20,871.4,864.0,872.86,864.0,59010.0,862.92,867.89,864.78,866.92,81.1,60.33,67.39
2020-02-21,868.89,871.49,877.52,868.59,66760.0,863.46,866.6,865.53,867.11,64.29,76.56,71.14
2020-02-24,837.4,867.56,867.56,837.4,95170.0,861.92,863.6,860.42,864.28,23.43,33.67,45.52
2020-02-25,849.58,836.54,849.58,827.81,69290.0,861.23,860.75,858.45,862.88,36.62,39.25,52.08
2020-02-26,841.68,849.56,849.56,837.52,54640.0,859.08,857.38,855.4,860.86,32.01,34.04,38.61
2020-02-27,848.34,841.19,849.18,836.56,55420.0,857.5,856.0,854.11,859.67,40.51,38.38,42.35
2020-02-28,831.97,844.02,844.02,823.09,69890.0,854.11,855.17,850.09,857.03,31.18,31.23,40.02
2020-03-02,835.42,831.25,837.99,827.23,69310.0,851.02,854.81,847.42,854.97,27.67,35.43,39.98
2020-03-03,837.99,835.14,846.21,835.14,64180.0,848.65,854.43,845.71,853.35,30.84,35.75,37.43
2020-03-04,837.99,838.02,839.26,831.2,52990.0,846.07,854.07,844.3,851.89,50.6,29.9,36.85
2020-03-05,839.12,838.93,846.58,836.32,67020.0,842.84,852.88,843.36,850.67,36.27,31.79,36.48
2020-03-06,835.97,838.77,838.77,827.12,53910.0,839.55,851.5,842.02,849.27,41.43,48.66,35.1
