Time,bid_quality,bid_volume,ask_quality,ask_volume,volume_diff,matching_volume,negotiable_volume,SMA10,SMA20,EMA_10,EMA_20,RSI_7d,RSI_9d,RSI_14d,Positive,Negative,return_vn30
2020-04-24,67407,137343350,46817,123002190,14341160,64551610,13438100,720.4450000000012,690.4710000000005,714.8732164570135,708.8678530293763,61.88055894226954,60.00188350996149,54.43741463064705,0,1,0
2020-04-27,71158,274535230,70916,243810380,30724850,81802970,31661854,721.7740000000011,694.3425000000004,715.7435407375565,709.8956765503881,56.54336389714827,56.21882191848373,52.41624825214318,0,1,0
2020-04-28,69938,122091570,46868,126334320,-4242750,64778960,15872420,721.9670000000011,699.4785000000004,715.7428969670917,710.4522787836845,52.68759237691157,53.46100475854765,50.93508279338216,0,0,0
2020-04-29,64643,136844850,46492,129111080,7733770,69755970,17155723,721.220000000001,704.7070000000004,715.6678247912569,710.9168236614288,52.25279813869273,53.15419330190873,50.77347696455674,0,0,0
2020-05-04,58840,112469920,39127,127117010,-14647090,65868010,12865194,719.4980000000012,708.7350000000005,714.5191293746647,710.7676023603403,45.81876981453591,48.57954464198963,48.36325236844393,0,0,1
2020-05-05,52082,95845650,41981,94170090,1675560,48703130,18688058,717.1010000000011,711.8280000000005,713.8811058519983,710.7906878498318,47.89652235261055,49.92539620124313,49.08577480157805,0,1,1
2020-05-06,71158,274535230,70916,243810380,30724850,77213190,47296592,716.0640000000012,713.9925000000005,716.0736320607259,712.2334794831811,62.84656525009134,60.40998022629891,55.16250802411328,1,0,1
2020-05-07,61671,149024330,62306,153293210,-4268880,82601000,6337030,719.3970000000012,716.3110000000005,720.4202444133213,714.8760052466877,71.74206324383428,67.5892813053142,59.99764294108366,0,0,1
2020-05-08,83607,230606510,111320,261783300,-31176790,146260040,8472563,723.9700000000012,719.7600000000004,727.6438363381719,719.1878142708126,79.83432125041008,74.93527701180386,65.7172524487015,1,0,1
2020-05-11,80492,210849760,71913,193764870,17084890,107514590,19873434,729.9340000000012,723.7240000000004,736.6413206403225,724.7061176735924,84.2610555215636,79.36478355432648,69.65128200613329,0,0,1
2020-05-12,92790,201915790,68232,184524560,17391230,104564430,7324550,735.6740000000011,728.0595000000005,744.9701714329912,730.2055350380122,85.43014206498358,80.57478198965111,70.7825435727377,0,1,1
2020-05-13,71158,274535230,70916,243810380,30724850,122448880,7812232,742.0770000000011,731.9255000000005,752.0101402633564,735.2992936058205,85.71861054318751,80.86893780525078,71.05338506794158,0,1,0
2020-05-14,82148,170135660,54024,169792980,34268,86237430,46930845,748.5760000000012,735.2715000000005,757.2319329427462,739.6260275481233,81.23915472073827,77.70881211873362,69.39957988610979,0,1,0
2020-05-15,74583,143101520,56228,174264870,-31163350,80443320,8130560,754.4380000000011,737.8290000000005,760.2715814986105,742.8949773054449,71.28442328465002,70.59969086174404,65.6313812683354,1,0,1
2020-05-18,68121,168495550,54447,145696560,22798990,81990780,7473970,762.230000000001,740.8640000000006,765.1803848624995,747.1211699430215,77.58096842436505,75.54449733264835,69.17274849972334,1,0,1
2020-05-19,71158,274535230,70916,243810380,30724850,119339160,29617920,771.060000000001,744.0805000000006,771.3857694329541,752.0915347103528,81.79142969767697,79.11624504437653,71.9829545603883,1,0,1
2020-05-20,63914,221168430,61648,176317930,44850500,97443060,6515400,778.7980000000009,747.4310000000006,777.191993172417,756.9704361665097,83.02983703576648,80.19978397072994,72.87001949339708,1,0,1
2020-05-21,75889,239233310,73320,257408970,-18175660,134973200,9079830,786.3550000000009,752.8760000000005,784.1661762319776,762.5494422458897,86.33642995256639,83.19196274741336,75.42556375986565,0,1,0
2020-05-22,73480,189268240,61922,220515870,-31247630,95158480,9064313,790.654000000001,757.3120000000006,787.615962371618,766.4152096510431,70.15413518977105,70.95199994401786,68.38621472126374,1,0,1
2020-05-25,69266,161826780,60862,174609910,-12783130,81739940,19356553,793.666000000001,761.8000000000005,791.1857873949602,770.3042373033247,72.16963063722652,72.46159370820959,69.40462877908648,1,0,1
2020-05-26,71925,194712800,65023,199361420,-4648620,101929820,4631400,796.922000000001,766.2980000000006,795.5174624140584,774.5619289887223,75.77339872180914,75.19926232220689,71.28547831967823,0,0,0
2020-05-27,85989,189977860,71279,245594210,-55616350,119115010,10951280,798.689000000001,770.3830000000006,796.5797419751387,777.1141262278917,59.86493912027059,62.83740401482054,63.84990903470044,1,0,1
2020-05-28,69257,194493870,56282,189136040,5357830,91471520,38581727,801.0220000000008,774.7990000000007,797.9397888887498,779.6803999204734,61.71960496955704,64.14886893407424,64.63567696847275,0,0,1
2020-05-29,66414,167768390,47130,162463290,5305100,76808710,5106410,804.2500000000009,779.3440000000006,799.4470999998862,782.2089332613807,63.30939363949398,65.25743357659223,65.28871171970123,1,0,1
2020-06-01,67519,316430060,68080,303778550,12651510,176781350,15226960,807.6700000000009,784.9500000000005,803.4512636362705,785.9480824745825,72.62464805687398,72.0787825414602,69.54249349364969,0,1,0
2020-06-02,80848,266701160,76750,294550980,-27849820,147384620,24064553,809.6090000000008,790.3345000000006,806.2237611569486,789.0673127150985,68.9144935792687,69.2967108507034,67.91342409177221,1,0,1
2020-06-03,61652,190283950,56220,192575990,-2292040,89255290,7121650,811.7060000000008,795.2520000000006,809.5085318556852,792.4218543612797,72.25197500353963,71.77042637462355,69.46782756052957,0,1,0
2020-06-04,71158,274535230,70916,243810380,30724850,135464800,16319273,812.5280000000008,799.4415000000006,812.1015260637424,795.4073920411578,71.41979394123484,71.17034796798075,69.13232351960747,1,0,1
2020-06-05,74526,291227570,52668,224415810,66811760,147686540,11746079,814.8610000000008,802.7575000000006,814.7139758703347,798.3657356562857,73.28381076022643,72.51282104824871,69.94401339740473,1,0,1
2020-06-08,71158,274535230,70916,243810380,30724850,155914950,18439775,817.9880000000009,805.8270000000007,819.0423438939102,802.189951308068,80.05643914081486,77.72150337843061,73.31640843019147,0,1,0
2020-06-09,71158,274535230,70916,243810380,30724850,152484730,18795802,820.1890000000009,808.5555000000006,822.311008640472,805.5070988025377,77.21375624027979,75.71231362980603,72.22994864909376,0,0,1
2020-06-10,89816,341244330,67003,296555950,44688380,164035740,5025086,823.9640000000009,811.3265000000007,825.3653707058407,808.7073751070579,78.45722698027292,76.65816376077618,72.83400546844615,0,1,0
2020-06-11,105968,276587360,76601,374573730,-97986370,191851870,17033040,824.245000000001,812.6335000000007,822.0025760320515,808.5323870016239,39.58276027946302,45.74340165380848,53.50109597538824,0,1,1
2020-06-12,116418,349549440,71785,295614860,53934580,183055290,9667340,824.398000000001,814.3240000000008,819.4130167534967,808.4588263348026,40.53174333998729,46.41452458909081,53.8651549541929,0,1,0
2020-06-15,71158,274535230,70916,243810380,30724850,141902860,224241865,820.122000000001,813.8960000000006,812.0124682528609,805.6256047791071,25.36187398624136,31.91731262072116,42.24010490374332,0,1,1
